noteId	noteAuthorParticipantId	createdAtMillis	tweetId	classification	believable	harmful	validationDifficulty	misleadingOther	misleadingFactualError	misleadingManipulatedMedia	misleadingOutdatedInformation	misleadingMissingImportantContext	misleadingUnverifiedClaimAsFact	misleadingSatire	notMisleadingOther	notMisleadingFactuallyCorrect	notMisleadingOutdatedButNotWhenWritten	notMisleadingClearlySatire	notMisleadingPersonalOpinion	trustworthySources	summary	isMediaNote	isCollaborativeNote	lang	summary_en	topic	topic_confidence	political_subcategory	political_subcat_conf
1957648685325815909	85D0D0A2307ED7947472F685B97D15F86B61C8B48C8160498DFC3A0CCA3B61CC	1755574792593	1957507861808136594	MISINFORMED_OR_POTENTIALLY_MISLEADING				0	0	1	0	0	0	0	0	0	0	0	0	1	This is an AI generated image.    Check the shoes after French President Macron.    https://x.com/ramprasad_c/status/1957507861808136594	0	0	en	This is an AI generated image.    Check the shoes after French President Macron.    https://x.com/ramprasad_c/status/1957507861808136594	fashion_&_style	0.9492321014404297	nan	
1463572785310179335	2FF588C5DC0FB919866D984848DFB07BE837710F36D5DEAB8DA60342A4AF240F	1637777918544	1463152760266891268	MISINFORMED_OR_POTENTIALLY_MISLEADING	BELIEVABLE_BY_MANY	CONSIDERABLE_HARM	EASY	0	1	0	0	1	0	0	0	0	0	0	0	1	While a 6.2% inflation rate is high, it's certainly not &quot;Double-digit&quot;.    https://www.nytimes.com/2021/11/10/business/economy/consumer-price-inflation-october.html	0	0	en	While a 6.2% inflation rate is high, it's certainly not &quot;Double-digit&quot;.    https://www.nytimes.com/2021/11/10/business/economy/consumer-price-inflation-october.html	news_&_social_concern	0.9933589100837708	107 - Internationalism: Positive	0.046996504068374634
1901661937722884579	EE48222CCC6ED6AF094A4381B64386AA161692EC64A575B035A94EB46305AEA6	1742226511780	1901370386014425204	NOT_MISLEADING				0	0	0	0	0	0	0	0	1	0	0	0	0	NNN - A polícia militar não faz contabilização de público conforme nota oficial do próprio órgão.	0	0	pt	NNN - The military police do not make public accounting according to the official note of the body itself.	news_&_social_concern	0.9963055849075317	102 - Foreign Special Relationships: Negative	0.03497592359781265
1788583529007206841	967F488FBD3587A666A188B215A825FE37E4548A49AC691CEA20A7CFCA978FB5	1715266518247	1788570732315701589	NOT_MISLEADING				0	0	0	0	0	0	0	0	0	0	0	1	1	NNN; after the US, Germany is also by far the biggest supplier of weapons to Israel. Their funding to UNWRA doesn't make the OP's post misleading or inaccurate in any way. If you disagree with the point he's making, then put it in a reply.  https://www.bbc.co.uk/news/world-middle-east-68737412	0	0	en	NNN; after the US, Germany is also by far the biggest supplier of weapons to Israel. Their funding to UNWRA doesn't make the OP's post misleading or inaccurate in any way. If you disagree with the point he's making, then put it in a reply.  https://www.bbc.co.uk/news/world-middle-east-68737412	news_&_social_concern	0.9956134557723999	203 - Constitutionalism: Positive	0.03740081191062927
1847267085191196937	0731EBB4CA6E206AD85D5A5789CD524C62A99F3E0ED3A6A9DBC63C36437E1761	1729257768330	1846156113013530923	MISINFORMED_OR_POTENTIALLY_MISLEADING				0	1	0	0	1	0	0	0	0	0	0	0	1	El titular es incorrecto. Taylor Swift no tiene responsabilidad sobre la licencia del Bernabéu. Las multas son al Real Madrid, nunca a los artistas que dieron los conciertos.    https://www.eldiario.es/madrid/somos/ayuntamiento-madrid-multa-277-000-euros-ruido-excesivo-promotores-conciertos-bernabeu_1_11731891.amp.html	0	0	es	The penalty is to Real Madrid, never to the artists who gave the concerts. https://www.eldiario.es/madrid/somos/municipality-madrid-multa-277-000-euros-ruise-excessive-promotors-concerts-bernabeu_1_11731891.amp.html	sports	0.8883510231971741	nan	
1654223972047699972	854AAA07082F68EFF1A2E287C051EF1810580A47C4E5C97825E157561123037B	1683232703587	1653979399497342977	MISINFORMED_OR_POTENTIALLY_MISLEADING				0	1	0	0	1	0	0	0	0	0	0	0	1	He was an illegal immigrant who was deported 4 times and convicted of DUI. He would not have been legally able to purchase or own any firearm. He is a Mexican National.    https://www.newsweek.com/texas-shooting-suspect-deportations-timeline-francisco-oropesa-1797667	0	0	en	He was an illegal immigrant who was deported 4 times and convicted of DUI. He would not have been legally able to purchase or own any firearm. He is a Mexican National.    https://www.newsweek.com/texas-shooting-suspect-deportations-timeline-francisco-oropesa-1797667	news_&_social_concern	0.9944461584091187	102 - Foreign Special Relationships: Negative	0.03938422352075577
1747761125033398726	DDB67C65FDB4F1B8BE32469B5DF731FA8EB93C3EF57DA80365E16DE12C0E56AF	1705533698696	1747473309724246100	NOT_MISLEADING				0	0	0	0	0	0	0	1	0	0	0	0	1	NNN: The ad does not claim to be the manufacturer of this product    Many products we buy everyday on multiple platforms (Amazon, eBay, etc) use drop shipping, this does not inherently mean the products/ads are scams or poor quality    Nor does this ad violate X.com’s ads policy  https://business.twitter.com/en/help/ads-policies.html	0	0	en	NNN: The ad does not claim to be the manufacturer of this product    Many products we buy everyday on multiple platforms (Amazon, eBay, etc) use drop shipping, this does not inherently mean the products/ads are scams or poor quality    Nor does this ad violate X.com’s ads policy  https://business.twitter.com/en/help/ads-policies.html	business_&_entrepreneurs	0.9872064590454102	nan	
1927541962753638761	38A85A0F10ED427CA16AED0930591FBEE18F49F50DEC836544E0359CD0DB4AFB	1748396790575	1927482687188512922	MISINFORMED_OR_POTENTIALLY_MISLEADING				0	1	0	0	1	1	0	0	0	0	0	0	1	This is a lie.    Image depicts one of the direct distribution centers of food in Gaza.    https://ground.news/article/chaos-erupts-on-first-day-of-us-backed-aid-distribution-in-gaza-after-weeks-of-hunger-news-channel-3-12_98f323	0	0	en	This is a lie.    Image depicts one of the direct distribution centers of food in Gaza.    https://ground.news/article/chaos-erupts-on-first-day-of-us-backed-aid-distribution-in-gaza-after-weeks-of-hunger-news-channel-3-12_98f323	news_&_social_concern	0.9972991347312927	203 - Constitutionalism: Positive	0.030422529205679893
1684500650225287168	08A58A2339B5614D3D6DFF42F4CD39740E43F5EBED4FCBF66141E1F9DE105C4E	1690451226180	1644069097330692118	NOT_MISLEADING				0	0	0	0	0	0	0	0	1	0	1	1	0	the chicken fried	0	0	en	the chicken fried	food_&_dining	0.9195464253425598	nan	
1795396707242414584	C55AF5AC7AACE01E8C4223CB0794BE4513E56A0F5021229A58DB7FC40C4BFCE3	1716890906522	1793292956029313463	MISINFORMED_OR_POTENTIALLY_MISLEADING				0	1	0	0	0	1	0	0	0	0	0	0	1	Bandera was a Nazi collaborator. His OUN militias held police power in occupied Ukraine and were significantly involved in pogroms against Jewish civilians. Aspirations for an independent Ukraine led to his arrest, but he was imprisoned as an &quot;honorary prisoner&quot; by the Nazis.     https://en.wikipedia.org/wiki/Stepan_Bandera	0	0	en	Bandera was a Nazi collaborator. His OUN militias held police power in occupied Ukraine and were significantly involved in pogroms against Jewish civilians. Aspirations for an independent Ukraine led to his arrest, but he was imprisoned as an &quot;honorary prisoner&quot; by the Nazis.     https://en.wikipedia.org/wiki/Stepan_Bandera	news_&_social_concern	0.9926220178604126	203 - Constitutionalism: Positive	0.030841192230582237
